Michael.,Hello from Texas,10
Sarah Jenkins.,Let's get started,12
David R.,Ready for the gold rush,13
Chris.,Been waiting for this all week,17
Amanda.,Hi Barry and Itamar,20
John Davies.,Excited to see what is new for 2026,23
Paul.,Sound and video are perfect,27
Mark.,Let's do this,30
Greg H.,Ready to roll,34
Emily.,Hello from London,40
Jason.,Hello from NYC,47
Tony.,Is there a replay for this? I have a meeting at 2,50
Sarah.,Usually they send a replay Tony,57
Chris.,Focus guys,63
Amanda C.,I remember the 2024 launch. It changed everything for my agency,70
Jason.,Always love Itamar intros,77
Kevin.,2026 is going to be a huge shift,90
Emily.,The Meta buyout was huge news. Congrats to the Umbrella team,100
Marcus P.,I am learning that pushing old school methods is getting too expensive,120
Cole.,Email client closed. I am focused,130
Blake.,All distractions removed,140
Tyler.,Ready,150
Kevin.,ready,151
Samantha T.,Im ready,152
Brian.,Ready to go,153
Marcus.,ready here,154
Cole.,Ready,156
Blake.,Let's do it,157
Megan.,ready,157
Justin.,Ready,159
Scott M.,born ready,160
Linda.,Ready,162
Richard.,ready,163
Alex.,Ready,166
Tony.,Ready,167
Paul F.,im ready,170
Sarah.,Ready,173
Chris.,Ready,177
David.,ready,180
Jason W.,Ready,184
Richard.,4.9 Google ranking is impressive,200
Alex.,Okay let's get into the content,215
Paul F.,The legal industry needs this bad,240
Sarah.,My wife is a lawyer she works 80 hours a week just returning calls,260
Chris.,15 times more powerful than a lawyer? I like the sound of that,275
Marcus.,Ready,278
Cole.,ready,279
Blake.,Ready,281
Justin.,im ready,282
Scott.,Ready,284
Linda S.,ready,286
Richard.,Ready,287
Alex.,let's go,289
Tony.,Ready,290
Sarah.,ready,293
Chris.,Ready,296
Samantha.,Getting paid for output instead of hours is the dream,310
David.,That phone ringing is giving me anxiety haha,325
Jason W.,Wait is that the AI talking?,350
Kevin.,Dr. Spock in Beverly Hills. I love this,370
Emily.,Classic Hollywood Nose package. Hilarious,385
Brian.,Galactic Commander. I am dying,390
Jessica.,What if the AI hallucinates and promises a client a free service?,400
Marcus.,Jessica usually you can put hard guardrails in the prompt to stop that,410
Cole.,The latency is zero. The speed is what makes it feel human,417
Blake.,It handles his interruptions perfectly,423
Justin.,Usually bots break when you talk over them. This is seriously impressive,430
Scott.,I still think older customers might get confused and hang up,437
Linda S.,Scott just position it as a 24/7 automated receptionist,445
Richard.,It even sent him a text with the address while on the call,455
Tony.,Incredible demo,470
Sarah.,I am sold just on the voice quality alone,480
Chris.,10 out of 10,490
David M.,Okay that was very impressive,500
Amanda.,Charging per minute is smart,507
Brian.,WOW,513
Jessica.,wow,514
Marcus.,Wow,516
Cole.,wow,517
Blake T.,Wow that was crazy,519
Justin.,WOW,520
Scott.,Wow,522
Linda.,wow,523
Richard.,Wow,526
Alex.,Unbelievable,527
Tony.,wow,529
Sarah.,Wow,531
Chris.,WOW,534
David.,wow,537
Jason.,34.8 percent growth. The numbers speak for themselves,550
Kevin.,20x growth,560
Emily.,The market is massive,570
Brian.,Multilingual? Finally,585
Jessica.,Does it speak Spanish natively?,600
Marcus.,And French?,615
Cole.,Outbound calls too? That is a total game changer,630
Blake.,This solves the staffing issue completely,645
Justin.,No more sick days for receptionists,660
Scott.,What about privacy laws? Is this legal to record?,675
Linda.,Usually you just have to add a line saying the call is recorded,690
Alex.,Yes,799
Tony D.,yes,800
Sarah.,Yes,802
Chris.,yes,803
David.,Yes,805
Amanda.,yes absolutely,807
Jason.,Yes,810
Kevin.,yes,812
Emily.,Yes,815
Brian.,yes,817
Jessica P.,Yes,820
Marcus.,yes,823
Cole.,Yes,826
Blake.,yes,830
Justin.,Yes,833
Scott.,yes,837
Kevin.,They build it for us? Thank god,850
Emily.,I was worried about the technical setup. I am not a coder,865
Brian.,Done for you is exactly what I needed to hear,880
Jessica K.,Watching this Google Sheet roofing demo closely,895
Marcus.,Connecting it directly to Google Sheets means zero manual data entry,910
Cole.,It just updated the sheet in real time,925
Blake.,That is Ana Sami in San Diego. The bot got the location right,940
Justin.,Roof replacement on a commercial property. Captured perfectly,955
Scott.,Setting up the Thursday 10am appointment right on the call,970
Linda.,I could reactivate old lists for days with this,985
Richard.,HIPAA,991
Alex.,hipaa,992
Tony.,HIPAA,994
Sarah.,Hyper HIPAA,996
Chris L.,HIPAA,998
David.,hipaa,1000
Jay Thompson.,HIPAA,1003
Amanda.,hipaa,1006
Jason.,Hyper HIPAA,1009
Tyler.,HIPAA,1012
Samantha.,hipaa,1015
Josh.,HIPAA,1020
Kevin.,hipaa,1025
Emily.,HIPAA,1030
Richard.,Carpet cleaners are a great niche for this,1060
Alex.,Jane the carpet cleaner. Easy pitch,1085
Tony.,Car dealerships have massive dead lists,1110
Sarah.,Josh from Toyota Valley. I love the personalization,1135
Chris.,My brother is an optician too Barry. He needs this,1160
David.,You can clone the owner voice?,1185
Amanda.,Cloning the Pilates instructor voice is crazy personalization,1210
Jason.,Wedding planners. I never even thought of that niche,1235
Kevin.,RSVP management via the bride or groom voice bot. Huge value add,1260
Emily.,Plumbers always miss calls when they are working under a sink,1285
Brian.,Emergency services need to answer immediately. This is perfect,1310
Jessica.,A basketball sized hole in the roof. The bot showed empathy,1335
Marcus.,Personal Injury attorneys pay huge money per click. They cannot miss calls,1360
Cole.,Class action lawsuits. Itamar is a genius,1385
Blake.,I am sorry you have been dealing with back pain. The empathy is what sells it,1410
Justin.,George Sink PA Injury Lawyers. I am taking notes,1435
Scott.,Recruiters. Wow,1460
Linda.,Filtering resumes via phone call saves HR hundreds of hours,1485
Richard.,LinkedIn is the absolute spot for this,1510
Alex.,Full stack engineer for Hobos,1535
Tony.,The bot asked about Ruby and React and MongoDB. It understands context,1560
Sarah.,He mentioned Langchain and the bot followed up perfectly,1585
Chris.,984000 recruiters on LinkedIn. That is a goldmine,1610
David.,Real Estate demo. Let's see it,1635
Amanda.,Sothebys LA. Luxury market,1660
Jason.,5 jacuzzis. The bot did not even hesitate. It just rolled with it,1685
Kevin.,A million realtors in the US. Massive market,1710
Emily.,Medical and Dental is the holy grail,1735
Brian.,Half a billion to 9x growth in healthcare AI,1760
Jessica.,It handles triage and test results?,1785
Marcus.,I agree with Barry getting past bad receptionists at dentists is a nightmare,1810
Cole.,I am ready to buy. How do we pull this off?,1835
Blake.,Do not tell me I have to learn coding,1860
Justin.,He just said they do it all for us,1885
Scott.,EU market is 32 million businesses,1910
Linda.,The anticipation is real right now,1935
Richard.,OMG,1994
Alex.,omg,1996
Tony.,OMG,1998
Sarah.,omg,2000
Chris.,OMG,2002
David.,omg,2004
Amanda.,OMG,2006
Jason.,omg,2009
Kevin.,OMG,2012
Emily.,omg,2015
Brian.,OMG,2020
Chris.,Yes,2078
David.,yes,2079
Amanda.,Yes,2081
Jason.,yes,2083
Kevin.,Yes,2085
Emily.,yes,2088
Brian.,Yes,2091
Jessica.,yes,2094
Marcus.,Yes,2097
Cole.,yes,2100
Blake.,Yes,2104
Blake.,I am waiting for the price drop,2720
Justin.,Give us the link guys,3320
Scott.,Okay here comes the offer,3500
Linda.,Let's see the pricing,3620
Richard.,Umbrella always delivers,3740
Alex.,I am ready,3860
Tony.,Give me the link I am buying right now,3965
Sarah.,395? That is nothing,3968
Chris.,Buying right now,3970
David.,LINK PLEASE,3973
Amanda.,I am in,3976
Jason.,IN,3978
Kevin.,Processing,3980
Emily.,Got it,3983
Brian.,Just bought the single pay,3986
Jessica.,Loading for me,3988
