Name,Message,TimeInSeconds
John,Hello everyone! Ready for this.,2
Lisa,Hi from Texas!,4
Adam,Let's go!,5
Anthony,"Checking in, good to be here.",6
Mike,Ready to learn.,8
Sarah,Hi from the UK!,10
John,I can hear you!,13
Lisa,Loud and clear.,14
Adam,Yes to both.,15
Anthony,Audio and video are 100%.,16
John,Yes screen is visible.,17
Lisa,Yes,18
Adam,I can see it.,18
Anthony,Yes,19
Rebecca,Yes we can see it.,20
Steve,Yes sir,21
Mike,All good here.,22
Sarah,Yes,23
Joseph,Yes screen is loud and clear lol,23
Kundan,Yes,24
Sam,See it perfectly.,25
Ronnie,Hey man excited to be here!,26
Ronnie,Hey man excited to be here! Just hit $210 on my video today!,38
Lisa,Wow $210 on day one? That is amazing.,48
John,Congrats Ronnie!,52
John,C,166
Lisa,C 10 billion,167
Adam,Has to be C,167
Anthony,B,168
Rebecca,C,168
Steve,C,169
Mike,I'll guess B,169
Sarah,C,170
Joseph,C for sure,170
Kundan,B 70 billion,171
Sam,C,171
Ronnie,Definitely C,172
John,Yes I have 4 different AI video tools and am making $0,319
Lisa,Exactly my issue right now.,321
Adam,Yep I have wasted so much time editing.,323
Steve,What is the partner program exactly?,333
Anthony,How do we get into the program?,334
Rebecca,Wait I thought you just needed views to get paid?,336
Mike,So views alone don't pay?,337
Sarah,That explains why my 50 videos made nothing...,341
Joseph,Mind blown.,343
Kundan,How many subscribers do we need for it?,345
Sam,Can anyone join it?,347
Ronnie,Guys listen to him the partner program changes everything.,348
Lisa,So how do we get accepted fast?,352
John,Is it hard to get approved?,354
Adam,Do you show us how to get in?,356
Mike,How long does approval take?,357
Anthony,Yes unfortunately,359
Steve,Very familiar.,360
Rebecca,Too familiar lol,361
John,Less than 7 days? I've been trying for 7 months!,388
Lisa,Wow $278 in 48 hours is crazy.,390
Adam,Is that actually realistic for a complete beginner?,392
Steve,Sounds a bit too good to be true to be honest...,395
Anthony,$2000 as a beginner? Wow.,397
Rebecca,What is the catch?,398
Mike,Overnight? Seriously?,400
Sarah,Done for you? Okay I am listening.,402
Ronnie,Guys it actually works. I was skeptical too but look at my numbers!,404
Joseph,If it's fully done for you then maybe it's possible.,406
John,Yes!,441
Lisa,Yes I want that bonus.,442
Adam,Yes,443
Anthony,Yes let's go!,444
Steve,Yes I am staying.,446
Rebecca,Yes,447
Mike,Yes,448
Sarah,Yes definitely.,450
Joseph,Yes,452
Kundan,Yes,453
Sam,Yes,455
Ronnie,Yes guys stay till the end it's worth it!,456
Andy,Yes,458
Marie,Yes I'm here.,459
John,Yes,460
Adam,Yes I hate chasing clients.,538
Lisa,Client work is exhausting.,542
Steve,Exactly why I want to switch to YouTube.,545
Rebecca,Selling is the absolute hardest part.,550
Mike,Wait so we really don't sell anything?,560
Anthony,Love the win-win-win concept.,580
Sarah,My kids watch Cocomelon all day lol,650
Joseph,Cocomelon makes millions.,655
Adam,150 videos a month is huge.,675
Lisa,I struggle to post once a week.,685
Steve,Wow that adds up fast.,700
Rebecca,I hate being on camera so this is perfect.,745
Anthony,Editing takes me hours.,755
Mike,$16k as a beginner is insane.,785
Sarah,A university student making $13.5k? Wow.,795
Joseph,I need to drop out too haha,800
Lisa,Yes,850
Adam,Yes makes perfect sense.,851
Anthony,Yes,852
Steve,Yes,853
Rebecca,Yes,854
Mike,Yes I see the opportunity,855
Sarah,Yes,856
John,Well if it's that easy then why isn't everyone doing this? Why isn't everyone making money on YouTube?,860
Lisa,How do we get into the partner program?,870
Adam,I heard you need 1000 subs.,910
Steve,4000 hours is impossible I tried for a year.,935
Rebecca,I've been stuck at 200 subs forever.,945
Anthony,10 million shorts views?! No way.,955
Joseph,That is exactly why I gave up last time.,975
Sarah,I quit after 3 months lol.,985
Adam,me,1238
Steve,Me!,1238
John,me,1239
Anthony,Me please,1239
Rebecca,me,1240
Lisa,Me,1240
Mike,me,1241
Sarah,ME,1241
Joseph,me,1242
Kundan,me!!!,1242
Sam,Me,1243
Ronnie,me,1243
Andy,me,1244
Marie,Me,1245
Nelson,me,1246
Eric,Me,1247
Adam,Option 3 for sure!,1375
Steve,Option 3,1376
Lisa,Me!,1377
John,Me,1378
Anthony,Definitely Option 3,1380
Rebecca,Me,1392
Mike,me,1393
Sarah,me,1394
Joseph,me,1395
Kundan,me,1395
Sam,me,1396
Ronnie,me,1397
Andy,me,1398
Marie,Me,1399
Nelson,me,1400
Eric,me,1402
Lisa,A faceless channel is exactly what I need.,1428
John,Yes I do not want to be on camera.,1432
Adam,Guaranteed AdSense? That is the hardest part.,1458
Steve,Guaranteed approval is huge.,1462
Rebecca,30 videos created for us?? That alone is worth it.,1482
Mike,30 fully edited videos wow.,1485
Sarah,Ronnie is killing it! Congrats man.,1495
Joseph,90 days of support gives me so much peace of mind.,1512
Anthony,Wait we get the account in 84 hours?,1530
Kundan,84 hours is incredibly fast.,1535
Sam,Navy Secrets is yours?? I have watched those videos!,1558
Marie,15k in 28 days is life changing.,1565
Andy,$23000 from one channel... wow Michael.,1573
Lisa,Abeeb's story really hits home. I was laid off last month too.,1628
John,So inspiring Abeeb.,1635
Adam,Taking that leap of faith paid off for him.,1642
Steve,Ahmad doing $22k in 3 months is unreal.,1648
Rebecca,I am so ready to do this.,1655
Adam,I would honestly pay $10k for this to avoid the headache.,1685
Steve,Agreed time is money.,1690
Lisa,Yes very fair.,1742
Anthony,Absolutely fair.,1745
John,Yes massive discount.,1768
Lisa,Huge discount.,1770
Adam,Very fair.,1772
Steve,Wow that is crazy cheap.,1775
Rebecca,That is an insane drop in price.,1778
Mike,I thought it would be $5k at least.,1785
Sarah,Crazy discount for sure.,1818
Joseph,Yes!,1820
Kundan,Incredible deal.,1822
John,Where's the link? Can I grab this please?,1824
Andy,Please share the link. Sounds amazing.,1826
Marie,Link please!,1827
Anthony,Drop the link.,1828
Mike,I am ready for the link.,1829
Lisa,Please let me in.,1831
Sarah,Uh oh what is the bad news?,1845
Steve,How many spots are left?,1855
Rebecca,Please don't say you are out of accounts.,1860
John,I need one of these accounts!,1865
Steve,How many accounts exactly?,1879
Adam,Oh man I hope I get one.,1882
John,I want to make sure I am first! Please drop the link.,1902
Lisa,Me too I'm ready.,1905
Anthony,What is the good news?,1908
Rebecca,Wait another $1000 off?!,1928
John,live,1930
Lisa,live,1932
Adam,live,1934
Anthony,live,1935
Steve,live,1936
Rebecca,live,1938
Marie,live,1940
Andy,live,1942
Mike,live,1945
Sarah,live,1948
Joseph,live,1950
Kundan,live,1952
Sam,live,1955
Ronnie,live,1956
John,$997 is an absolute steal.,1965
Lisa,Clicking the link now!,2008
Adam,Just opened the order form.,2012
Anthony,Got the link thank you.,2015
Rebecca,Is there a payment plan?,2035
