Michael.,hello from tx,5
Sarah Jenkins.,sick of fake ai tools. hope this is the real deal,10
David R.,ready for the gold rush!!,15
Chris.,my fb ad costs are bleeding my agency dry rn. need a new angle,20
Amanda.,hi barry and itamar,25
John Davies.,excited to see whats new for 2026,30
Paul.,sound and video are perfect,35
Mark.,lets do this,40
Greg H.,ready to roll,45
Emily.,hello from london,50
Jason.,is there a replay? my boss keeps interrupting me,60
Sarah.,usually they send a replay,65
Amanda C.,I remember the 2024 launch. changed everything for my agency,75
Jason.,always love itamar intros,80
Kevin.,2026 is gonna be a huge shift. adapt or die,85
Emily.,the meta buyout was huge news. congrats to the umbrella team,95
Marcus P.,im learning that pushing old school methods is getting way too expensive,100
Chris.,focus guys turn off ur phones,141
Cole.,email client closed. im focused,145
Blake.,all distractions removed,147
Tyler.,ready,150
Kevin.,im literally taking notes already,151
Samantha T.,im ready,152
Brian.,ready to go,153
Marcus.,ready here,154
Cole.,ready,155
Blake.,lets do it,156
Megan.,ready,157
Justin.,rdy,158
Scott M.,born ready,159
Linda.,ready,160
Richard.,ready,161
Alex.,Ready,162
Tony.,ready,163
Paul F.,im ready,164
Sarah.,ready,165
Chris.,ready,166
David.,ready,167
Jason W.,ready,168
Richard.,4.9 google ranking is insane social proof,210
Alex.,okay lets get into the meat of this,281
Marcus.,Ready,283
Cole.,ready,284
Blake.,ready,285
Justin.,im ready,286
Scott.,ready,287
Linda S.,ready,288
Richard.,ready,289
Alex.,lets go,290
Tony.,ready,291
Sarah.,ready,292
Chris.,ready,293
Paul F.,the legal industry needs this bad. lawyers hate answering phones,326
Sarah.,my wife is a lawyer she works 80 hrs a week just returning calls,330
Chris.,15 times more powerful than a lawyer? im listening,336
Samantha.,getting paid for output instead of hourly is the dream,340
David.,that phone ringing is giving me anxiety haha,387
Jason W.,wait is that the AI talking?? no way,399
Kevin.,Dr. Spock in Beverly Hills. I love this,402
Emily.,Classic Hollywood Nose package. hilarious,421
Cole.,the latency is zero. it actually breathes.,425
Blake.,it handles his interruptions perfectly. my mind is blown,430
Justin.,usually bots break when u talk over them. this is a paradigm shift,435
Scott.,i still think older customers might get confused and hang up,440
Linda S.,scott just position it as a 24/7 automated receptionist,445
Brian.,Galactic Commander lmaoo im dying,455
Jessica.,what if the AI hallucinates and promises a client a free service?,465
Marcus.,jessica usually u can put hard guardrails in the prompt to stop that,470
Richard.,it even sent him a text with the address while on the call. game over.,485
Tony.,incredible demo. im sold.,490
Sarah.,im sold just on the voice quality alone,495
Chris.,this just made my entire front desk obsolete,500
David M.,okay that was very impressive,505
Brian.,PURE GREED RIGHT NOW,513
Jessica.,wow,514
Marcus.,shut up and take my money,515
Cole.,wow,516
Blake T.,wow that was crazy,517
Justin.,WOW,518
Scott.,wow,519
Linda.,wow,520
Richard.,this changes the whole industry,521
Alex.,unbelievable,522
Tony.,wow,523
Sarah.,Wow,524
Chris.,WOW,525
David.,wow,526
Amanda.,charging per min is brilliant. recurring revenue machine.,610
Jason.,34.8 percent growth. numbers speak for themselves,723
Kevin.,20x growth,733
Emily.,the market is massive. literally every local biz needs this,745
Alex.,yes,793
Tony D.,yes,794
Sarah.,Yes,795
Chris.,yes,796
David.,yes,797
Amanda.,yes absolutely,798
Jason.,Yes,799
Kevin.,yes,800
Emily.,yes,801
Brian.,yes,802
Jessica P.,yes,803
Marcus.,yes,804
Cole.,yes,805
Blake.,yes,806
Justin.,yes,807
Scott.,yes,808
Cole.,outbound calls too?? list reactivation on steroids.,959
Brian.,multilingual? finally. tapping into the spanish market.,965
Jessica.,does it speak spanish natively?,967
Marcus.,and french?,969
Blake.,this solves the staffing issue completely. fire the lazy receptionists.,971
Justin.,no more sick days. no more attitude.,973
Scott.,what about privacy laws? is it legal to record?,975
Linda.,usually u just have to add a line saying the call is recorded,978
Richard.,HIPAA,981
Alex.,hipaa,982
Tony.,HIPAA,983
Sarah.,hyper HIPAA,984
Chris L.,HIPAA,985
David.,hipaa,986
Jay Thompson.,HIPAA,987
Amanda.,hipaa,988
Jason.,hyper HIPAA,989
Tyler.,HIPAA,990
Samantha.,hipaa,991
Josh.,HIPAA,992
Kevin.,hipaa,993
Emily.,HIPAA,994
Kevin.,they build it for us? thank god. im a marketer not a dev.,1019
Emily.,i was worried about the tech setup. im not a coder,1025
Brian.,done for u is exactly what I needed to hear,1030
Jessica K.,watching this google sheet roofing demo closely,1078
Marcus.,connecting it directly to sheets means 0 manual data entry. frictionless.,1090
Blake.,thats ana sami in san diego. bot got the location right,1119
Justin.,roof replacement on a commercial property. captured perfectly,1215
Scott.,setting up the thurs 10am appt right on the call. booked revenue.,1220
Cole.,it just updated the sheet in real time,1245
Linda.,im gonna reactivate my entire dead email list with this voice bot,1342
Richard.,carpet cleaners are a great niche for this,1369
Alex.,jane the carpet cleaner. easy pitch,1412
Tony.,car dealerships have massive dead lists,1445
Sarah.,josh from toyota valley. love the personalization,1466
Chris.,my brother is an optician too barry. he needs this badly,1491
David.,you can clone the owner voice?? thats the ultimate contrarian play,1687
Amanda.,cloning the pilates instructor voice is crazy personalization,1698
Jason.,wedding planners. never even thought of that niche,1917
Kevin.,RSVP management via the bride or groom voice bot. huge value add,1945
Richard.,OMG,1998
Alex.,omg,1999
Tony.,omg,2000
Sarah.,omg,2001
Chris.,OMG,2002
David.,omg,2003
Amanda.,omg,2004
Jason.,omg,2005
Kevin.,OMG,2006
Emily.,omg,2007
Brian.,OMG,2008
Chris.,yes,2078
David.,yes,2079
